fips,name,st,county,rucc,pop_2010
0800925,Akron,Colorado,8121,9,1702
0801090,Alamosa,Colorado,8003,7,8780
0802355,Antonito,Colorado,8021,9,781
0809555,Brush,Colorado,8087,6,5463
0810600,Burlington,Colorado,8063,7,4254
0812855,Center,Colorado,8109,9,2230
0815165,Clifton,Colorado,8077,3,19889
0817375,Cortez,Colorado,8083,6,8482
0817760,Craig,Colorado,8081,7,9464
0818310,Crested Butte,Colorado,8051,7,1487
0819795,Del Norte,Colorado,8105,7,1686
0819850,Delta,Colorado,8029,6,8915
0822035,Durango,Colorado,8067,4,16887
0827040,Florence,Colorado,8043,4,3881
0827810,Fort Morgan,Colorado,8087,6,11315
0828745,Fruita,Colorado,8077,3,12646
0830780,Glenwood Springs,Colorado,8045,5,9614
0831660,Grand Junction,Colorado,8077,3,58566
0833640,Gunnison,Colorado,8051,7,5854
0834960,Haxtun,Colorado,8095,9,946
0837270,Holyoke,Colorado,8095,9,2313
0839965,Julesburg,Colorado,8115,9,1225
0842110,La Junta,Colorado,8089,6,7077
0843110,Lamar,Colorado,8099,7,7804
0843660,Las Animas,Colorado,8011,7,2410
0844320,Leadville,Colorado,8065,6,2602
0844980,Limon,Colorado,8073,8,1880
0848060,Manassa,Colorado,8021,9,991
0849875,Meeker,Colorado,8103,9,2475
0851635,Monte Vista,Colorado,8105,7,4444
0851745,Montrose,Colorado,8085,4,19132
0855155,Oak Creek,Colorado,8107,7,884
0856145,Ordway,Colorado,8025,8,1080
0856860,Pagosa Springs,Colorado,8007,7,1727
0857300,Paonia,Colorado,8029,6,1451
0864255,Rifle,Colorado,8045,5,9172
0865190,Rocky Ford,Colorado,8089,6,3957
0867280,Salida,Colorado,8015,7,5236
0873330,Springfield,Colorado,8009,9,1451
0873825,Steamboat Springs,Colorado,8107,7,12088
0873935,Sterling,Colorado,8075,7,14777
0876795,Telluride,Colorado,8113,9,2325
0878610,Trinidad,Colorado,8071,7,9096
0882350,Walsenburg,Colorado,8055,6,3068
0886310,Wray,Colorado,8125,7,2342
0886750,Yuma,Colorado,8125,7,3524
1900190,Ackley,Iowa,19083,6,1589
1900595,Afton,Iowa,19175,6,845
1900775,Akron,Iowa,19149,3,1486
1900910,Albia,Iowa,19135,7,3766
1901135,Algona,Iowa,19109,7,5560
1901495,Alta,Iowa,19021,7,1883
1901585,Alton,Iowa,19167,7,1216
1901855,Ames,Iowa,19169,3,58965
1902260,Anita,Iowa,19029,6,972
1903520,Atlantic,Iowa,19029,6,7112
1903655,Audubon,Iowa,19009,8,2176
1905365,Bedford,Iowa,19173,9,1440
1905635,Bellevue,Iowa,19097,6,2191
1905680,Belmond,Iowa,19197,7,2376
1907030,Bloomfield,Iowa,19051,9,2640
1907480,Boone,Iowa,19015,6,12661
1908605,Britt,Iowa,19081,7,2069
1908695,Brooklyn,Iowa,19157,7,1468
1909550,Burlington,Iowa,19057,5,25663
1911080,Carroll,Iowa,19027,7,10103
1911305,Cascade,Iowa,19061,3,2159
