fips,name,st,county,rucc,pop_2010,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
0800320,Acres Green,Colorado,8035,1,3007,0,0,0,0,0
0800620,Aetna Estates,Colorado,8005,1,0,0,0,0,0,0
0800760,Aguilar,Colorado,8071,7,538,1397,1383,1236,858,698
0800870,Air Force Academy,Colorado,8041,2,0,0,0,0,0,0
0800925,Akron,Colorado,8121,9,1702,1417,1135,1401,647,351
0801090,Alamosa,Colorado,8003,7,8780,5613,5107,3171,3013,1141
0801145,Alamosa East,Colorado,8003,7,0,0,0,0,0,0
0801420,Allenspark,Colorado,8013,2,0,0,0,0,0,0
0801530,Alma,Colorado,8093,1,270,469,110,127,301,297
0801640,Alpine,Colorado,8105,7,0,0,0,0,0,0
0801740,Altona,Colorado,8013,2,0,0,0,0,0,0
0801915,Amherst,Colorado,8095,9,0,0,0,0,0,0
0802355,Antonito,Colorado,8021,9,781,1220,858,946,681,347
0802575,Applewood,Colorado,8059,1,0,0,0,0,0,0
0802905,Arboles,Colorado,8007,7,0,0,0,0,0,0
0803015,Aristocrat Ranchettes,Colorado,8123,2,0,0,0,0,0,0
0803235,Arriba,Colorado,8073,8,193,286,337,334,0,0
0803455,Arvada,Colorado,8059,1,106433,1482,1276,915,840,0
0803455,Arvada,Colorado,8059,1,106433,1482,1276,915,840,300
0803620,Aspen,Colorado,8097,7,6658,777,705,1265,1834,3303
0803730,Aspen Park,Colorado,8059,1,0,0,0,0,0,0
0803840,Atwood,Colorado,8075,7,0,0,0,0,0,0
0803950,Ault,Colorado,8123,2,1519,761,737,769,569,0
0804000,Aurora,Colorado,8005,1,325078,3437,2295,983,679,202
0804000,Aurora,Colorado,8005,1,325078,3437,2205,983,679,202
0804110,Avon,Colorado,8037,5,6447,0,0,0,0,0
0804165,Avondale,Colorado,8101,3,0,0,0,0,0,0
0804620,Bark Ranch,Colorado,8013,2,0,0,0,0,0,0
0804935,Basalt,Colorado,8037,5,3857,212,148,185,235,382
0805120,Battlement Mesa,Colorado,8045,5,0,0,0,0,0,0
0805265,Bayfield,Colorado,8067,4,2333,372,277,267,227,0
0806090,Bennett,Colorado,8001,1,2308,199,211,0,0,0
0806172,Berkley,Colorado,8001,1,0,0,0,0,0,0
0806255,Berthoud,Colorado,8069,2,5105,811,811,852,758,305
0806530,Bethune,Colorado,8063,7,237,79,97,0,0,0
0806602,Beulah Valley,Colorado,8101,3,0,0,0,0,0,0
