GEOID,NAME,ST,variable,value
0800320,Acres Green,Colorado,P001001,3007
0800620,Aetna Estates,Colorado,P001001,834
0800760,Aguilar,Colorado,P001001,538
0800870,Air Force Academy,Colorado,P001001,6680
0800925,Akron,Colorado,P001001,1702
0801090,Alamosa,Colorado,P001001,8780
0801145,Alamosa East,Colorado,P001001,1458
0801420,Allenspark,Colorado,P001001,528
0801530,Alma,Colorado,P001001,270
0801640,Alpine,Colorado,P001001,174
0801740,Altona,Colorado,P001001,501
0801915,Amherst,Colorado,P001001,58
0802355,Antonito,Colorado,P001001,781
0802575,Applewood,Colorado,P001001,7160
0802905,Arboles,Colorado,P001001,280
0803015,Aristocrat Ranchettes,Colorado,P001001,1344
0803235,Arriba,Colorado,P001001,193
0803455,Arvada,Colorado,P001001,106433
0803620,Aspen,Colorado,P001001,6658
0803730,Aspen Park,Colorado,P001001,882
0803840,Atwood,Colorado,P001001,133
0803950,Ault,Colorado,P001001,1519
0804000,Aurora,Colorado,P001001,325078
0804110,Avon,Colorado,P001001,6447
0804165,Avondale,Colorado,P001001,674
0804620,Bark Ranch,Colorado,P001001,213
0804935,Basalt,Colorado,P001001,3857
0805120,Battlement Mesa,Colorado,P001001,4471
0805265,Bayfield,Colorado,P001001,2333
0806090,Bennett,Colorado,P001001,2308
0806172,Berkley,Colorado,P001001,11207
0806255,Berthoud,Colorado,P001001,5105
0806530,Bethune,Colorado,P001001,237
0806602,Beulah Valley,Colorado,P001001,556
0806970,Black Forest,Colorado,P001001,13116
0807025,Black Hawk,Colorado,P001001,118
0807190,Blanca,Colorado,P001001,385
0807245,Blende,Colorado,P001001,878
0807410,Blue River,Colorado,P001001,849
0807420,Blue Sky,Colorado,P001001,24
0807571,Bonanza,Colorado,P001001,16
0807580,Bonanza Mountain Estates,Colorado,P001001,128
0807795,Boone,Colorado,P001001,339
0807850,Boulder,Colorado,P001001,97385
0808070,Bow Mar,Colorado,P001001,866
0808290,Brandon,Colorado,P001001,21
0808345,Branson,Colorado,P001001,74
0808400,Breckenridge,Colorado,P001001,4540
0808530,Brick Center,Colorado,P001001,107
0808675,Brighton,Colorado,P001001,33352
0809115,Brookside,Colorado,P001001,233
0809280,Broomfield,Colorado,P001001,55889
0809555,Brush,Colorado,P001001,5463
0810105,Buena Vista,Colorado,P001001,2617
0810600,Burlington,Colorado,P001001,4254
0810985,Byers,Colorado,P001001,1160
0811260,Calhan,Colorado,P001001,780
0811645,Campo,Colorado,P001001,109
0811810,Ca?on City,Colorado,P001001,16400
0811975,Capulin,Colorado,P001001,200
0812045,Carbondale,Colorado,P001001,6427
0812325,Cascade-Chipita Park,Colorado,P001001,1655
0812387,Castle Pines,Colorado,P001001,3614
0812390,Castle Pines North,Colorado,P001001,10360
0812415,Castle Rock,Colorado,P001001,48231
0812450,Cathedral,Colorado,P001001,14
0812460,Catherine,Colorado,P001001,228
0812470,Cattle Creek,Colorado,P001001,641
0812635,Cedaredge,Colorado,P001001,2253
0812815,Centennial,Colorado,P001001,100377
0812855,Center,Colorado,P001001,2230
0812910,Central City,Colorado,P001001,663
0812945,Chacra,Colorado,P001001,329
0813460,Cheraw,Colorado,P001001,252
0813590,Cherry Creek,Colorado,P001001,11120
0813845,Cherry Hills Village,Colorado,P001001,5987
0814175,Cheyenne Wells,Colorado,P001001,846
0814587,Cimarron Hills,Colorado,P001001,16161
0814765,City of Creede,Colorado,P001001,290
0815165,Clifton,Colorado,P001001,19889
